2020-04-11 10:18:54,503 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-compiler-plugins:3.6.1: Plugin org.apache.maven.plugins:maven-compiler-plugins:3.6.1 or one of its dependencies could not be resolved: Failure to find org.apache.maven.plugins:maven-compiler-plugins:jar:3.6.1 in https://repo.maven.apache.org/maven2 was cached in the local repository, resolution will not be reattempted until the update interval of central has elapsed or updates are forced
2020-04-11 10:18:55,517 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-04-11 10:18:55,529 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-04-11 10:18:55,533 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-04-11 10:18:55,541 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-04-11 10:18:55,542 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of new-jdbc
2020-04-11 10:18:55,542 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for new-jdbc
2020-04-11 10:18:55,546 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-compiler-plugins:jar:3.6.1 is missing, no dependency information available
2020-04-11 10:18:55,556 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-compiler-plugins:3.6.1: Plugin org.apache.maven.plugins:maven-compiler-plugins:3.6.1 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.apache.maven.plugins:maven-compiler-plugins:jar:3.6.1 has not been downloaded from it before.
2020-04-11 10:18:55,565 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-compiler-plugins:jar:3.6.1 is missing, no dependency information available
2020-04-11 10:18:55,572 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-compiler-plugins:3.6.1: Plugin org.apache.maven.plugins:maven-compiler-plugins:3.6.1 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.apache.maven.plugins:maven-compiler-plugins:jar:3.6.1 has not been downloaded from it before.
2020-04-11 10:18:55,582 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-04-11 10:19:56,417 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.laptrinhweb:new-jdbc:1.0 @ C:\Users\maihu\OneDrive\Desktop\Java_web_jsp_serverlet\workspace\new-jdbc\pom.xml.
2020-04-11 10:19:56,797 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/servlet/servlet-api/2.5/servlet-api-2.5.pom
2020-04-11 10:19:57,080 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/servlet/servlet-api/2.5/servlet-api-2.5.pom
